school_name,student_id,grade,term_code,bellPeriod1_absences,bellPeriod2_absences,bellPeriod3_absences,bellPeriod4_absences,bellPeriod5_absences,bellPeriod6_absences,total_absences,bellPeriod1_markbook_mark,bellPeriod2_markbook_mark,bellPeriod3_markbook_mark,bellPeriod4_markbook_mark,bellPeriod5_markbook_mark,bellPeriod6_markbook_mark
West High School,989OKS8ZG,9,Semester 2 Final,10,10,12,10,11,19,72,A,A,A,A,B,A
West High School,J6EM8W29X,9,Semester 2 Final,23,7,7,7,6,6,56,A,B,B,A,C,A
West High School,828VEI1SL,9,Semester 2 Final,69,20,21,16,30,7,163,F,C,F,F,D,D
West High School,V7VA3J5Z8,9,Semester 2 Final,0,0,1,0,1,2,4,A,B,B,B,C,B
West High School,F97BYV2E0,9,Semester 2 Final,12,12,13,11,11,19,78,A,A,A,A,A,A
West High School,J619CJ1QZ,9,Semester 2 Final,14,8,11,16,15,17,81,F,B,D,C,C,C
West High School,F2986JMXC,9,Semester 2 Final,2,2,2,5,4,3,18,B,C,C,B,A,C
West High School,EY4M24ZC5,9,Semester 2 Final,8,9,12,9,10,10,58,D,A,C,C,B,B
West High School,3L9N2OQ3C,9,Semester 2 Final,14,15,8,7,7,18,69,D,C,C,A,A,C
West High School,BNC359SH7,9,Semester 2 Final,4,5,9,7,3,3,31,C,A,C,B,B,B
West High School,9D5M0OW4S,9,Semester 2 Final,2,2,1,4,1,2,12,F,D,D,C,F,D
West High School,BI06LSX25,9,Semester 2 Final,3,3,2,2,3,6,19,A,A,A,A,A,A
West High School,R811VQE1G,9,Semester 2 Final,10,9,8,6,10,10,53,B,A,B,A,B,C
West High School,6DCZ61FD2,9,Semester 2 Final,9,7,5,8,10,8,47,A,D,C,A,A,B
West High School,IQU93XE16,9,Semester 2 Final,13,7,8,24,13,16,81,A,A,A,A,A,A
West High School,7V202WQIH,9,Semester 2 Final,9,16,12,12,11,12,72,A,B,A,B,A,A
West High School,709GVE9EE,9,Semester 2 Final,26,19,13,12,12,9,91,D,A,A,A,C,C
West High School,66WUZG48B,9,Semester 2 Final,17,16,17,16,15,16,97,A,A,A,A,A,A
West High School,OSY1750OL,9,Semester 2 Final,11,8,9,9,10,11,58,A,B,A,B,C,C
West High School,XE3Q35HG0,9,Semester 2 Final,12,10,11,11,13,13,70,C,B,B,C,C,B
West High School,X1Z11C7BJ,9,Semester 2 Final,7,6,5,7,6,7,38,A,A,A,A,A,A
